Species,Bin,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
Ausktribosphenos,3,0.34603335,8.525467862,9.582707482,9.413286872,7.739195093,21.87831289,9.608426658,-18.30186269,7.96890952,-14.73982229
Bishops,3,1.491137894,10.34686258,9.422795684,12.36347944,5.106970838,20.5393491,10.67063114,-19.59790707,8.360077817,-12.8222131
Teinolophos,3,1.371318513,2.731481395,5.588732539,9.839868456,4.079525468,13.58880861,8.743462632,-6.518047205,6.0287324,-8.662105598
Repenomamus,3,-69.49875874,-49.83192822,-31.72193397,26.68396228,15.61516566,-13.55851901,23.65732367,-15.14651707,-3.710214495,33.80001551
Maotherium,3,-12.62654627,-66.98577017,-4.970385879,-24.66226358,-32.43384629,-10.300933,22.63120435,-24.19808441,-8.576198143,3.213985025
Kielantherium,3,2.508359259,0.610909892,-5.39869155,-1.299887247,-7.817148129,-10.0089318,-4.074815698,13.65033977,4.504923224,7.9841245
Prokennalestes,3,22.74141199,13.29358928,8.361592671,20.42386148,-2.802011259,-22.95794714,-1.437847508,-3.701557384,17.18926366,1.107730696
Atokatheridium,3,0.174529654,2.791207051,-0.699434609,0.037444055,0.476550507,-1.124973379,0.500457327,1.03870767,4.688424409,4.225630718
Holoclemensia,3,1.658322213,4.924382597,-1.197739049,0.587847096,0.339909133,-2.4082094,0.236156466,1.569322327,4.198830191,3.172800609
Steropodon,3,-1.380536613,2.139337387,3.497675527,7.019314568,4.157560264,13.88330472,5.744277904,-5.647724404,2.48919745,-9.472014606
Montanalestes,3,10.57236997,7.235158532,-2.141572731,4.425704488,-2.459826492,-12.55009415,0.592705489,5.354830689,5.009792424,7.599203631
Kokopellia,3,8.353548994,15.50674653,-13.19895851,0.084757952,4.95477512,-5.035369209,2.208756684,5.339527823,6.672778609,14.51767254
Anchistodelphys,4,0.993784138,8.777556886,-4.761337526,0.20248789,7.457823985,3.908233471,0.047686527,-0.692019702,-0.275261346,4.164946574
Daulestes,4,30.95459574,2.495007291,-2.16696569,16.70313313,3.359295867,-24.01341132,-3.009233005,-8.729462646,5.732654254,1.064611459
Aspanlestes,4,4.908824435,10.18872112,2.77133657,8.258176,0.198521813,-0.955270312,4.663014288,-5.935950242,-1.775547361,0.726746208
Eoungulatum,4,2.061994883,8.784330069,2.251502792,10.10665443,6.814486623,8.651595821,5.12814845,-3.82596443,-4.91557898,0.318226911
Sulestes,4,16.23308315,15.35928084,-25.89613257,1.798926781,4.208464158,-4.696480337,9.047623568,6.008008333,13.36155653,17.68722062
Kennalestes,4,56.26417683,-4.668346647,11.31663112,33.79057022,8.789135189,-42.11030564,-11.86193626,-7.771003303,13.64828192,-6.809419882
Asioryctes,4,85.02748754,9.335202598,44.72185375,9.151411543,17.48688253,-37.48018554,-26.49777308,-4.845003697,3.377568769,-0.37363191
Zalambdalestes,4,120.3634556,-13.85690733,39.96447731,16.26215113,6.143867125,-15.67909117,16.21623615,4.673252568,-16.07526062,-16.14881472
Deltatheridium,4,41.94248493,6.444747326,-29.87333878,-10.33945183,2.004770194,-24.43522695,-11.29028049,-5.221748071,12.82304985,2.750424864
Asiatherium,4,65.04647957,10.8844577,-35.41165741,-4.777383056,13.25280088,-10.14289342,9.406238055,0.541614853,-6.519543253,6.152000519
Albertatherium,4,-0.294638068,-0.026715121,-1.85310619,-0.210429236,1.059906209,3.518912312,0.082049248,-2.456728442,1.133428309,-3.194827891
